Sample	Class	Hits
SRR8902714	Aminocoumarins	1443
SRR8902714	Aminoglycosides	3990
SRR8902714	Biocide and metal resistance	1251
SRR8902714	Cationic antimicrobial peptides	4384
SRR8902714	Copper resistance	3715
SRR8902714	Drug and biocide resistance	39140
SRR8902714	Elfamycins	1632
SRR8902714	Fluoroquinolones	3836
SRR8902714	Fosfomycin	394
SRR8902714	Lipopeptides	4200
SRR8902714	MLS	2786
SRR8902714	Multi-biocide resistance	6371
SRR8902714	Multi-drug resistance	13649
SRR8902714	Multi-metal resistance	9351
SRR8902714	Peroxide resistance	761
SRR8902714	Phenicol	626
SRR8902714	Phenolic compound resistance	4266
SRR8902714	Rifampin	2490
SRR8902714	Sulfonamides	811
SRR8902714	betalactams	1940
