Sample	Mechanism	Hits
SRR8902714	Aminocoumarin-resistant DNA topoisomerases	1443
SRR8902714	Aminoglycoside O-phosphotransferases	703
SRR8902714	Aminoglycoside-resistant 16S ribosomal subunit protein	3287
SRR8902714	Biocide and metal resistance protein	1251
SRR8902714	Cationic peptide-resistant 16S ribosomal subunit protein	735
SRR8902714	Chloramphenicol acetyltransferases	626
SRR8902714	Class C betalactamases	370
SRR8902714	Class D betalactamases	396
SRR8902714	Colistin phosphoethanolamine transferase	1912
SRR8902714	Colistin-resistant mutant	2288
SRR8902714	Copper resistance protein	3273
SRR8902714	Copper resistance regulator	442
SRR8902714	Drug and biocide ABC efflux regulator	418
SRR8902714	Drug and biocide MATE efflux pumps	1255
SRR8902714	Drug and biocide MFS efflux pumps	1111
SRR8902714	Drug and biocide RND efflux pumps	31406
SRR8902714	Drug and biocide RND efflux regulator	4950
SRR8902714	EF-Tu inhibition	1632
SRR8902714	Fluoroquinolone resistance phosphotransferase	223
SRR8902714	Fluoroquinolone-resistant DNA topoisomerases	3613
SRR8902714	Fosfomycin thiol transferases	394
SRR8902714	MDR regulator	1613
SRR8902714	Macrolide-resistant 23S rRNA mutation	2786
SRR8902714	Multi-biocide RND efflux pump	6371
SRR8902714	Multi-drug RND efflux pumps	11148
SRR8902714	Multi-drug RND efflux regulator	573
SRR8902714	Multi-drug SMR efflux regulator	315
SRR8902714	Multi-metal RND efflux pumps	3551
SRR8902714	Multi-metal resistance protein	5800
SRR8902714	Mutant porin proteins	1174
SRR8902714	Phenolic RND efflux pump	4266
SRR8902714	Polymyxin B resistance regulator	3649
SRR8902714	Rifampin-resistant beta-subunit of RNA polymerase RpoB	2490
SRR8902714	Sulfonamide-resistant dihydropteroate synthases	811
SRR8902714	peroxide resistance protein	761
