Sample	Class	Hits
SRR8902815	Acetate resistance	1290
SRR8902815	Acid resistance	2858
SRR8902815	Aminocoumarins	772
SRR8902815	Aminoglycosides	4012
SRR8902815	Arsenic resistance	2028
SRR8902815	Bacitracin	245
SRR8902815	Biocide and metal resistance	2817
SRR8902815	Cationic antimicrobial peptides	2430
SRR8902815	Chromium resistance	215
SRR8902815	Copper resistance	2580
SRR8902815	Drug and biocide and metal resistance	4158
SRR8902815	Drug and biocide resistance	14434
SRR8902815	Elfamycins	882
SRR8902815	Fluoroquinolones	1630
SRR8902815	Fosfomycin	1915
SRR8902815	Iron resistance	1009
SRR8902815	Lipopeptides	255
SRR8902815	MLS	9353
SRR8902815	Multi-biocide resistance	2288
SRR8902815	Multi-drug resistance	1509
SRR8902815	Multi-metal resistance	10221
SRR8902815	Nickel resistance	1692
SRR8902815	Peroxide resistance	717
SRR8902815	Phenicol	693
SRR8902815	Phenolic compound resistance	472
SRR8902815	Rifampin	1505
SRR8902815	Sodium resistance	1231
SRR8902815	Sulfonamides	375
SRR8902815	Tetracyclines	733
SRR8902815	Trimethoprim	29
SRR8902815	Zinc resistance	1932
SRR8902815	betalactams	2145
