Sample	Gene	Hits	Gene Fraction
SRR8902714	MEG_1034|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	468	99.8762
SRR8902714	MEG_1076|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	235	95.7921
SRR8902714	MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR	221	99.3865
SRR8902714	MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA	1425	99.9497
SRR8902714	MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation	980	99.8501
SRR8902714	MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS	1244	99.9303
SRR8902714	MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1	1111	99.9174
SRR8902714	MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation	735	89.4362
SRR8902714	MEG_1557|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT	626	99.8438
SRR8902714	MEG_1722|Metals|Copper_resistance|Copper_resistance_protein|CINA	582	99.8384
SRR8902714	MEG_2023|Metals|Copper_resistance|Copper_resistance_protein|COPA	1212	99.9463
SRR8902714	MEG_2038|Metals|Copper_resistance|Copper_resistance_protein|COPB	1015	99.8982
SRR8902714	MEG_2058|Metals|Copper_resistance|Copper_resistance_protein|COPG	464	99.7947
SRR8902714	MEG_2071|Metals|Copper_resistance|Copper_resistance_regulator|COPR	442	97.9827
SRR8902714	MEG_2117|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	1391	99.8527
SRR8902714	MEG_2133|Drugs|Fluoroquinolones|Fluoroquinolone_resistance_phosphotransferase|CRPP	223	99.4975
SRR8902714	MEG_2479|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRA	2532	99.9683
SRR8902714	MEG_2480|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRB	1019	99.918
SRR8902714	MEG_2731|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE	315	99.7006
SRR8902714	MEG_2958|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	811	99.8828
SRR8902714	MEG_2984|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	167	99.7555
SRR8902714	MEG_2996|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	227	99.7555
SRR8902714	MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation	1179	93.2039
SRR8902714	MEG_3049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPTA	1421	99.9538
SRR8902714	MEG_3050|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPVA	748	94.6377
SRR8902714	MEG_3051|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPVA	1143	99.9592
SRR8902714	MEG_3226|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	1988	99.9639
SRR8902714	MEG_3899|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXA	763	99.9133
SRR8902714	MEG_3901|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB	1243	99.3635
SRR8902714	MEG_3902|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB	14	80.7792
SRR8902714	MEG_3903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB	1297	99.9682
SRR8902714	MEG_3904|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXC	230	96.309
SRR8902714	MEG_3905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXC	473	99.9142
SRR8902714	MEG_3906|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXC	265	91.073
SRR8902714	MEG_3907|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD	2258	99.9681
SRR8902714	MEG_3909|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE	1028	99.9197
SRR8902714	MEG_3912|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF	2751	99.9687
SRR8902714	MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG	582	99.7768
SRR8902714	MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH	988	99.9102
SRR8902714	MEG_3915|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI	2670	99.9676
SRR8902714	MEG_3916|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXJ	855	99.9095
SRR8902714	MEG_3917|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK	2771	99.9675
SRR8902714	MEG_3918|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXL	541	99.8438
SRR8902714	MEG_3919|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN	2827	99.9679
SRR8902714	MEG_3920|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN	957	99.9137
SRR8902714	MEG_3921|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ	2443	99.9684
SRR8902714	MEG_3922|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ	1056	99.9137
SRR8902714	MEG_3923|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ	961	99.9323
SRR8902714	MEG_3924|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	61	99.7753
SRR8902714	MEG_3926|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	41	98.4199
SRR8902714	MEG_3927|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	70	99.7743
SRR8902714	MEG_3928|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	49	90.5618
SRR8902714	MEG_3931|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXS|RequiresSNPConfirmation	941	99.9021
SRR8902714	MEG_3932|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT|RequiresSNPConfirmation	357	99.8908
SRR8902714	MEG_3933|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT|RequiresSNPConfirmation	433	99.9043
SRR8902714	MEG_3935|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXV	1100	99.9117
SRR8902714	MEG_3936|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW	2849	99.9673
SRR8902714	MEG_3938|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXX	720	99.9161
SRR8902714	MEG_3939|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY	787	84.564
SRR8902714	MEG_3940|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY	1633	99.9681
SRR8902714	MEG_3941|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXZ|RequiresSNPConfirmation	570	97.1609
SRR8902714	MEG_4100|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA	1109	99.922
SRR8902714	MEG_4101|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB	2828	99.9681
SRR8902714	MEG_4102|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC	2343	99.9679
SRR8902714	MEG_4109|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation	541	99.8445
SRR8902714	MEG_4110|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|NALD|RequiresSNPConfirmation	573	99.8438
SRR8902714	MEG_4161|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NFXB|RequiresSNPConfirmation	543	99.823
SRR8902714	MEG_4292|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMB	1188	99.9332
SRR8902714	MEG_4293|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD	1178	99.9317
SRR8902714	MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH	1418	99.931
SRR8902714	MEG_4296|Drugs|betalactams|Mutant_porin_proteins|OPRD|RequiresSNPConfirmation	1174	98.6497
SRR8902714	MEG_4297|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ	463	95.7668
SRR8902714	MEG_4298|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ	702	99.9306
SRR8902714	MEG_4299|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM	302	99.3258
SRR8902714	MEG_4300|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM	955	99.6573
SRR8902714	MEG_4301|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OPRN	506	80.3521
SRR8902714	MEG_4302|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OPRN	912	99.9296
SRR8902714	MEG_4605|Drugs|betalactams|Class_D_betalactamases|OXA	130	99.8734
SRR8902714	MEG_4752|Drugs|betalactams|Class_D_betalactamases|OXA	57	92.1519
SRR8902714	MEG_5181|Drugs|betalactams|Class_D_betalactamases|OXA	49	95.6962
SRR8902714	MEG_5325|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	668	98.3672
SRR8902714	MEG_5357|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	957	99.9559
SRR8902714	MEG_5386|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	1443	99.9471
SRR8902714	MEG_5699|Drugs|betalactams|Class_C_betalactamases|PDC	64	94.8954
SRR8902714	MEG_5700|Drugs|betalactams|Class_C_betalactamases|PDC	41	89.4561
SRR8902714	MEG_5701|Drugs|betalactams|Class_C_betalactamases|PDC	146	87.113
SRR8902714	MEG_5702|Drugs|betalactams|Class_C_betalactamases|PDC	119	91.3808
SRR8902714	MEG_5784|Drugs|Lipopeptides|Colistin-resistant_mutant|PHOP|RequiresSNPConfirmation	876	99.8527
SRR8902714	MEG_5785|Drugs|Lipopeptides|Colistin-resistant_mutant|PHOQ|RequiresSNPConfirmation	1412	99.9258
SRR8902714	MEG_5794|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|PMPM	1255	99.9303
SRR8902714	MEG_6053|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM	1779	99.9519
SRR8902714	MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	2490	99.9755
SRR8902714	MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation	741	89.825
SRR8902714	MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation	1367	94.8801
SRR8902714	MEG_6153|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB	788	93.9698
SRR8902714	MEG_6154|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RUVBM	439	99.9057
SRR8902714	MEG_6155|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RUVBM	270	99.434
SRR8902714	MEG_6541|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA	346	99.8369
SRR8902714	MEG_6546|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB	415	99.8285
SRR8902714	MEG_6547|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|SOXR	418	99.7881
SRR8902714	MEG_7271|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIA	1153	99.9133
SRR8902714	MEG_7273|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB	942	99.9067
SRR8902714	MEG_7275|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC	2171	99.9672
SRR8902714	MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	807	99.9163
SRR8902714	MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	825	99.9163
SRR8902714	MEG_7830|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW	463	99.7159
SRR8902714	MEG_8035|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|CPRR	865	99.8514
SRR8902714	MEG_8036|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|CPRS	1047	99.9229
SRR8902714	MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation	2786	83.1325
SRR8902714	MEG_8316|Drugs|betalactams|Class_D_betalactamases|OXA	96	97.9747
SRR8902714	MEG_8370|Drugs|betalactams|Class_D_betalactamases|OXA	64	91.0127
SRR8902714	MEG_8451|Drugs|Multi-drug_resistance|MDR_regulator|PARR	521	99.859
SRR8902714	MEG_8452|Drugs|Multi-drug_resistance|MDR_regulator|PARS	1092	99.9224
SRR8902714	MEG_8686|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|RSMA	195	99.4652
SRR8902714	MEG_8741|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|YAJC	496	99.7059
